Category,Subcategory,Supplier,Brand,Region,Year,Month,Units Month, Values Month 
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,11,9260," $50,290 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,12,10310," $55,960 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,1,10290," $61,640 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,2,8720," $52,260 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,3,8750," $52,360 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,4,8970," $53,680 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,5,10090," $60,430 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,6,9160," $54,870 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,7,8920," $53,460 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,8,7950," $47,590 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,9,9130," $54,650 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,10,9090," $54,500 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,11,8320," $49,830 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,12,7170," $42,940 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,1,9510," $56,950 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,2,8580," $51,400 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,3,9210," $55,150 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,4,9710," $58,170 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,5,8700," $52,090 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,6,8440," $50,620 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,7,9010," $53,980 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,8,6450," $38,660 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,9,8040," $48,140 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,10,8820," $52,820 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,11,8270," $49,540 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,12,8360," $50,090 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,1,8490," $50,870 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,2,7360," $44,080 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,3,7460," $44,660 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,4,8910," $53,390 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,5,7490," $44,890 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,6,7520," $45,060 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,7,8200," $49,100 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,8,7780," $46,650 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,9,7490," $44,860 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,10,7990," $47,890 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,11,6780," $40,610 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,12,8170," $48,930 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,1,7000," $41,950 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,2,7460," $44,680 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,3,8030," $48,110 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,4,6830," $40,960 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,5,7390," $44,290 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,6,7610," $45,560 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,7,7030," $42,120 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,8,5880," $35,260 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,9,4800," $28,730 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,10,3350," $20,450 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,11,2210," $15,180 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,12,1750," $12,010 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2023,1,4310," $29,820 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2023,2,5570," $38,540 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2023,3,5790," $40,100 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,1,6920," $37,540 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,2,6790," $36,850 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,3,8100," $43,940 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,4,5200," $28,230 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,5,6630," $35,970 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,6,7450," $40,430 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,7,4090," $22,180 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,8,3820," $20,770 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,9,6120," $33,200 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,10,6160," $33,480 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,11,7020," $38,120 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,12,5440," $29,540 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,1,6830," $40,910 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,2,5020," $30,010 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,3,5120," $30,660 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,4,5270," $31,590 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,5,5360," $32,130 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,6,5720," $34,290 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,7,4120," $24,670 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,8,3380," $20,270 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,9,4530," $27,140 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,10,4960," $29,710 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,11,4890," $29,260 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,12,4510," $26,970 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,1,4140," $24,800 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,2,3940," $23,570 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,3,3980," $23,840 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,4,3860," $23,100 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,5,4380," $26,240 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,6,5120," $30,700 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,7,3450," $20,690 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,8,3260," $19,520 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,9,4600," $27,540 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,10,4330," $25,960 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,11,3350," $20,030 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,12,3390," $20,340 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,1,3520," $21,090 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,2,3850," $23,050 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,3,4110," $24,640 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,4,4030," $24,120 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,5,3210," $19,190 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,6,5170," $30,920 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,7,3340," $19,990 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,8,3310," $19,870 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,9,3510," $21,050 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,10,3640," $21,810 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,11,3350," $20,050 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,12,3920," $23,470 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,1,4310," $25,810 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,2,3700," $22,150 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,3,4120," $24,710 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,4,4150," $24,870 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,5,3730," $22,370 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,6,4450," $26,640 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,7,3200," $19,170 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,8,3010," $18,060 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,9,2560," $15,340 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,10,1990," $12,140 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,11,1740," $11,900 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,12,830," $5,720 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2023,1,2150," $14,950 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2023,2,2100," $14,480 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2023,3,2500," $17,330 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,1,24570," $152,340 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,2,17270," $107,120 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,3,23310," $144,530 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,4,12430," $77,110 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,5,22130," $137,220 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,6,22950," $142,250 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,7,23980," $148,670 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,8,21100," $130,810 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,9,22790," $141,310 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,10,24020," $148,920 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,11,20000," $123,960 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,12,22520," $152,320 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,1,19950," $145,690 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,2,17990," $131,370 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,3,20400," $148,970 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,4,20120," $146,900 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,5,20990," $153,180 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,6,18190," $132,830 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,7,16160," $118,010 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,8,16500," $120,440 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,9,19860," $145,050 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,10,16690," $121,880 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,11,16380," $119,570 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,12,17060," $124,580 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,1,17060," $124,510 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,2,16190," $118,200 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,3,21660," $158,080 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,4,15280," $111,540 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,5,14810," $108,090 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,6,18410," $134,340 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,7,18960," $138,340 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,8,14140," $103,190 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,9,15460," $112,820 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,10,16460," $120,130 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,11,15840," $115,610 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,12,16580," $121,030 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,1,14690," $107,210 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,2,12860," $93,840 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,3,16120," $117,690 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,4,14910," $108,860 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,5,15110," $110,330 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,6,17400," $126,960 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,7,16030," $117,040 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,8,13890," $101,380 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,9,14710," $107,380 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,10,14660," $107,040 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,11,15290," $111,600 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,12,16640," $121,430 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,1,15920," $116,180 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,2,13170," $96,160 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,3,15760," $115,090 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,4,14700," $107,270 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,5,14260," $104,120 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,6,14950," $109,150 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,7,12870," $93,920 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,8,14420," $105,210 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,9,14560," $106,300 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,10,13700," $99,990 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,11,11950," $87,230 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,12,11930," $87,070 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2023,1,7760," $56,610 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2023,2,6050," $44,160 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2023,3,3340," $24,350 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,1,15380," $95,390 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,2,13450," $83,380 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,3,12810," $79,430 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,4,7420," $45,990 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,5,11300," $70,080 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,6,13350," $82,750 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,7,11520," $71,430 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,8,13040," $80,850 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,9,10830," $67,130 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,10,14910," $92,470 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,11,11550," $71,590 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2018,12,11920," $80,480 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,1,12300," $89,780 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,2,11430," $83,440 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,3,11640," $84,960 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,4,12680," $92,540 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,5,12780," $93,280 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,6,12970," $94,690 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,7,9650," $70,470 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,8,11700," $85,430 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,9,9200," $67,180 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,10,10560," $77,060 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,11,9890," $72,150 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2019,12,9780," $71,320 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,1,8690," $63,430 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,2,11110," $81,120 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,3,12810," $93,500 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,4,10510," $76,730 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,5,9070," $66,170 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,6,10870," $79,400 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,7,10230," $74,710 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,8,9460," $69,050 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,9,10570," $77,180 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,10,10270," $74,970 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,11,8210," $59,930 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2020,12,9730," $71,040 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2021,1,9210," $67,240 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2021,2,8160," $59,590 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2021,3,9350," $68,220 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2021,4,9380," $68,500 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2021,5,8620," $62,920 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2021,6,8410," $61,410 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2021,7,9050," $66,070 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2021,8,8820," $64,400 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2021,9,9090," $66,400 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,North,2021,10,9170," $66,970 "
